Record_no,Student,State_Province,Region,Spec_no,Year,SL_mm,BB_mm
1,Chelsea,Alabama,SE,16021103,before_2015,190.1322336,56.25875702
2,Chelsea,Alaska,AK,12091204,2012,182.2411178,55.75610893
3,Chelsea,Alaska,AK,12091205,2012,192.7865776,61.46209204
4,Chelsea,Alaska,AK,12091206,2012,197.3735111,58.66212918
5,Chelsea,Alaska,AK,12091207,2012,202.3060429,61.02974794
6,Chelsea,Alaska,AK,131029001,2013,161.0606233,45.21615105
7,Chelsea,Alaska,AK,131029002,2013,204.676818,60.62869899
8,Chelsea,Alaska,AK,131029003,2013,185.935718,55.23931281
9,Chelsea,Alaska,AK,131029004,2013,205.1964355,60.44223358
10,Chelsea,Alaska,AK,131029005,2013,190.1950291,56.47391253
11,Chelsea,Alaska,AK,131029006,2013,198.4926314,57.13078587
12,Chelsea,Alaska,AK,131029007,2013,189.8956454,58.13002295
13,Chelsea,Alaska,AK,131029008,2013,156.2553925,51.04959629
14,Chelsea,Alaska,AK,131029009,2013,171.4832135,53.1195809
15,Chelsea,Alaska,AK,131029010,2013,184.8881603,56.0421668
16,Chelsea,Alaska,AK,131029011,2013,180.0536912,55.34740816
17,Chelsea,Alaska,AK,131029012,2013,171.6388447,54.3435205
18,Chelsea,Alaska,AK,131029013,2013,184.3005775,54.73199124
19,Chelsea,Alaska,AK,131029014,2013,174.2388026,56.91874286
20,Chelsea,Arizona,SW,12091201,2011,169.1510039,51.54908286
21,Deepal,Arizona,SW,12091202,2011,180.2653751,54.181619
22,Deepal,Arizona,SW,16090602,2015,189.0965314,59.28369553
23,Deepal,Arizona,SW,16090603,2015,187.2310838,58.52035648
24,Deepal,Arizona,SW,16090604,before_2016,182.083282,58.09123624
25,Deepal,Arizona,SW,16090605,before_2016,195.21146,57.59727581
26,Deepal,Arizona,SW,16090606,before_2016,183.5489476,53.60221865
27,Deepal,Arizona,SW,16090607,before_2016,193.0879624,57.25460044
28,Deepal,Arizona,SW,16090608,before_2016,183.6204702,56.51261123
29,Deepal,Arizona,SW,16090609,before_2016,173.7819768,54.82204594
30,Deepal,Arizona,SW,16090701,before_2016,190.2139382,56.51858686
31,Deepal,Arizona,SW,16090702,before_2016,191.2851731,52.67711802
32,Deepal,Arizona,SW,16090703,before_2016,191.0098305,55.27753207
33,Deepal,Arizona,SW,16090704,before_2016,181.0972935,54.81026469
34,Deepal,Arizona,SW,16090705,before_2016,177.4436129,56.20530134
35,Deepal,Arizona,SW,16090706,before_2016,188.2425897,56.09138001
36,Deepal,Arizona,SW,16090707,before_2016,190.5928895,57.27110713
